"Original_country_name_in_FUBC_report","Original_crop_name_in_FUBC_report","Year","Year_for_FAO_area","FAO_area_ha","IFA_area_ha","FAO_area_used_Yes_No","IFA_N_t","IFA_P2O5_t","IFA_K2O_t","Comment","Survey_respondent"
"Argentina","Wheat","2018/19",2018,5822173,6287149,"No",417846.099882853,184319.479576577,0,NA,"Fertilizar"
"Argentina","Rice","2018/19",2018,198170,194835,"No",10877.2335455625,8266.73477800258,8172.90315523335,NA,"Fertilizar"
"Argentina","Other cereals","2018/19",2018,1953098,NA,"No",0,0,0,NA,"Fertilizar"
"Argentina","Barley","2018/19",2018,1209995,1353128,"No",71338.834990424,30570.6703200712,0,NA,"Fertilizar"
"Argentina","Sorghum","2018/19",2018,437463,522221,"No",15434.7081130306,12708.7328521303,0,NA,"Fertilizar"
"Argentina","Soybeans","2018/19",2018,16318060,17010277,"No",0,171921.652800643,0,NA,"Fertilizar"
"Argentina","Other oilseeds","2018/19",2018,2283954,NA,"No",0,0,0,NA,"Fertilizar"
"Argentina","Sunflowers","2018/19",2018,1678031,1941002,"No",25213.9780604519,16439.3974883976,0,NA,"Fertilizar"
"Argentina","Cotton","2018/19",2018,319285,NA,"No",0,0,0,NA,"Fertilizar"
"Argentina","Sugarcane","2018/19",2018,457884,350000,"No",30900.8605830902,1842.79083327483,0,NA,"Fertilizar"
"Argentina","Roots & Tubers","2018/19",2018,109828,NA,"No",0,0,0,NA,"Fertilizar"
"Argentina","Potatoe","2018/19",2018,67876,70000,"No",10692.5306151888,9743.8898655707,1710.78400337825,NA,"Fertilizar"
"Argentina","Fruits","2018/19",2018,618988,110000,"No",4617.85823304485,1055.82545034285,2824.17075861196,NA,"Fertilizar"
"Argentina","Citrus","2018/19",2018,137236,120000,"No",8921.32020924078,854.879525233359,2518.30552966489,NA,"Fertilizar"
"Argentina","Vineyards + Raisins","2018/19",2018,218233,220000,"No",10543.2593245536,3785.31984398,2561.15606053328,NA,"Fertilizar"
"Argentina","Vegetables","2018/19",2018,185206,NA,"No",0,0,0,NA,"Fertilizar"
"Argentina","Pastures","2018/19",2018,112900000,17300000,"No",81650.3359036725,44793.1194227752,0,NA,"Fertilizar"
"Argentina","Tobacco","2018/19",2018,54728,60569,"No",8057.96454947617,4389.68853107748,16431.4604366525,NA,"Fertilizar"
"Argentina","Residual","2018/19",2018,NA,2946097,"No",17948.5275133874,5722.14982531219,12503.2200559258,NA,"Fertilizar"
"Argentina","Maize","2018/19",2018,7138620,9039594,"No",439956.488476024,184585.668886611,0,NA,"Fertilizar"
"Australia","Fruit Primary","2018",2018,272884,NA,"Yes",31862.0291084689,23345.0197748331,30313.9337247736,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Australia","Other cereals","2018",2018,5603105,NA,"Yes",190840.967111398,147550.220767724,14727.2831394183,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Australia","Other Oil Crops","2018",2018,3241027,NA,"Yes",127926.503207437,64160.8196799828,18128.7341601778,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Includes Rapeseed.","IFA estimates"
"Australia","Rice, paddy","2018",2018,61151,NA,"Yes",6005.06004762306,1606.29555345333,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
