All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Grand Total N,Morocco,1986,140.1
Grand Total N,Morocco,1987,132.9
Grand Total N,Morocco,1988,158.9
Grand Total N,Morocco,1989,144.1
Grand Total N,Morocco,1990,164
Grand Total N,Morocco,1991,140.6
Grand Total N,Morocco,1992,131.4
Grand Total N,Morocco,1993,171.7
Grand Total N,Morocco,1994,134.8
Grand Total N,Morocco,1995,144.9
Grand Total N,Morocco,1996,124.5
Grand Total N,Morocco,1997,174.1
Grand Total N,Morocco,1998,176
Grand Total N,Morocco,1999,202.9
Grand Total N,Morocco,2000,207.6
Grand Total N,Morocco,2001,211
Grand Total N,Morocco,2002,216
Grand Total N,Morocco,2003,237
Grand Total N,Morocco,2004,239.2
Grand Total N,Morocco,2005,236
Grand Total N,Morocco,2006,231
Grand Total N,Morocco,2007,231
Grand Total N,Morocco,2008,195
Grand Total N,Morocco,2009,200
Grand Total N,Morocco,2010,205
Grand Total N,Morocco,2011,200
Grand Total N,Morocco,2012,215
Grand Total N,Morocco,2013,224
Grand Total N,Morocco,2014,220
Grand Total N,Morocco,2015,196.2
Grand Total N,Morocco,2016,188.4
Grand Total N,Morocco,2017,251.2
Grand Total N,Morocco,2018,211.5
Grand Total N,Morocco,2019,185.6
Grand Total N,Libya,1986,31.7
Grand Total N,Libya,1987,37.8
Grand Total N,Libya,1988,30.6
Grand Total N,Libya,1989,30
Grand Total N,Libya,1990,35
Grand Total N,Libya,1991,35
Grand Total N,Libya,1992,26.7
Grand Total N,Libya,1993,34.6
Grand Total N,Libya,1994,24.4
Grand Total N,Libya,1995,30
Grand Total N,Libya,1996,16.6
Grand Total N,Libya,1997,27.5
Grand Total N,Libya,1998,30
Grand Total N,Libya,1999,43.6
Grand Total N,Libya,2000,30.5
Grand Total N,Libya,2001,39.8
Grand Total N,Libya,2002,30.8
Grand Total N,Libya,2003,23.8
Grand Total N,Libya,2004,29.6
Grand Total N,Libya,2005,32
Grand Total N,Libya,2006,32
Grand Total N,Libya,2007,32
Grand Total N,Libya,2008,32
Grand Total N,Libya,2009,32
Grand Total N,Libya,2010,32
Grand Total N,Libya,2011,31.9
Grand Total N,Libya,2012,32.4
Grand Total N,Libya,2013,30
Grand Total N,Libya,2014,17.8
Grand Total N,Libya,2015,20.1
Grand Total N,Libya,2016,15.7
Grand Total N,Libya,2017,25.8
Grand Total N,Libya,2018,15.1
Grand Total N,Libya,2019,18.6
Grand Total N,Jordan,1986,6.1
Grand Total N,Jordan,1987,7.3
Grand Total N,Jordan,1988,14.2
Grand Total N,Jordan,1989,12
Grand Total N,Jordan,1990,8
Grand Total N,Jordan,1991,14.8
Grand Total N,Jordan,1992,9.7
Grand Total N,Jordan,1993,6.3
Grand Total N,Jordan,1994,4
Grand Total N,Jordan,1995,6
Grand Total N,Jordan,1996,5
Grand Total N,Jordan,1997,10.9
Grand Total N,Jordan,1998,14.8
Grand Total N,Jordan,1999,13
Grand Total N,Jordan,2000,9.4
Grand Total N,Jordan,2001,10
Grand Total N,Jordan,2002,10.6
Grand Total N,Jordan,2003,10.9
Grand Total N,Jordan,2004,4.7
Grand Total N,Jordan,2005,10.7
Grand Total N,Jordan,2006,4.6
Grand Total N,Jordan,2007,6.5
Grand Total N,Jordan,2008,7.8
Grand Total N,Jordan,2009,8.2
Grand Total N,Jordan,2010,10.2
Grand Total N,Jordan,2011,10.2
Grand Total N,Jordan,2012,10.5
Grand Total N,Jordan,2013,11
Grand Total N,Jordan,2014,11
Grand Total N,Jordan,2015,9.7
Grand Total N,Jordan,2016,5.4
Grand Total N,Jordan,2017,7.1
Grand Total N,Jordan,2018,6
Grand Total N,Jordan,2019,8.1
Grand Total N,Pakistan,1986,1332.3
Grand Total N,Pakistan,1987,1279.3
Grand Total N,Pakistan,1988,1324.9
Grand Total N,Pakistan,1989,1467.6
Grand Total N,Pakistan,1990,1471.7
Grand Total N,Pakistan,1991,1462.6
Grand Total N,Pakistan,1992,1636.3
Grand Total N,Pakistan,1993,1659.2
Grand Total N,Pakistan,1994,1738.2
Grand Total N,Pakistan,1995,1991
Grand Total N,Pakistan,1996,1985.3
Grand Total N,Pakistan,1997,2087.6
Grand Total N,Pakistan,1998,2091.9
Grand Total N,Pakistan,1999,2218
Grand Total N,Pakistan,2000,2264.6
Grand Total N,Pakistan,2001,2285.2
Grand Total N,Pakistan,2002,2349.2
Grand Total N,Pakistan,2003,2527
Grand Total N,Pakistan,2004,2785
Grand Total N,Pakistan,2005,2926.6
Grand Total N,Pakistan,2006,2649.7
Grand Total N,Pakistan,2007,2925.3
Grand Total N,Pakistan,2008,3035
Grand Total N,Pakistan,2009,3476.3
Grand Total N,Pakistan,2010,3142.7
Grand Total N,Pakistan,2011,3208.6
Grand Total N,Pakistan,2012,2853
Grand Total N,Pakistan,2013,3177.1
Grand Total N,Pakistan,2014,3313.2
Grand Total N,Pakistan,2015,2672.3
Grand Total N,Pakistan,2016,3729.8
Grand Total N,Pakistan,2017,3434.8
Grand Total N,Pakistan,2018,3407.8
Grand Total N,Pakistan,2019,3414.7
Grand Total N,Norway,1986,109.8
Grand Total N,Norway,1987,111.2
Grand Total N,Norway,1988,110.1
Grand Total N,Norway,1989,110.4
Grand Total N,Norway,1990,110.8
Grand Total N,Norway,1991,111
Grand Total N,Norway,1992,109
Grand Total N,Norway,1993,109
Grand Total N,Norway,1994,110
Grand Total N,Norway,1995,112
Grand Total N,Norway,1996,112
Grand Total N,Norway,1997,112
Grand Total N,Norway,1998,106
Grand Total N,Norway,1999,106
Grand Total N,Norway,2000,103
Grand Total N,Norway,2001,101
Grand Total N,Norway,2002,101
Grand Total N,Norway,2003,104
Grand Total N,Norway,2004,106
Grand Total N,Norway,2005,104
Grand Total N,Norway,2006,106
Grand Total N,Norway,2007,109
Grand Total N,Norway,2008,79
Grand Total N,Norway,2009,82
Grand Total N,Norway,2010,98
Grand Total N,Norway,2011,95
Grand Total N,Norway,2012,97
Grand Total N,Norway,2013,102.1
Grand Total N,Norway,2014,102.9
Grand Total N,Norway,2015,102.5
Grand Total N,Norway,2016,101.9
Grand Total N,Norway,2017,102.5
Grand Total N,Norway,2018,106.2
Grand Total N,Norway,2019,105.9
Grand Total N,Ireland,1986,371.7
Grand Total N,Ireland,1987,339.3
Grand Total N,Ireland,1988,349
Grand Total N,Ireland,1989,378.5
Grand Total N,Ireland,1990,370
Grand Total N,Ireland,1991,347.9
Grand Total N,Ireland,1992,353
Grand Total N,Ireland,1993,404
Grand Total N,Ireland,1994,433
Grand Total N,Ireland,1995,425
Grand Total N,Ireland,1996,394
Grand Total N,Ireland,1997,397
Grand Total N,Ireland,1998,444
Grand Total N,Ireland,1999,429
Grand Total N,Ireland,2000,368
Grand Total N,Ireland,2001,366
Grand Total N,Ireland,2002,388
Grand Total N,Ireland,2003,362
Grand Total N,Ireland,2004,350
Grand Total N,Ireland,2005,342.5
Grand Total N,Ireland,2006,339.4
Grand Total N,Ireland,2007,309.8
Grand Total N,Ireland,2008,286
Grand Total N,Ireland,2009,365
Grand Total N,Ireland,2010,354
Grand Total N,Ireland,2011,291
Grand Total N,Ireland,2012,338
Grand Total N,Ireland,2013,346.8
Grand Total N,Ireland,2014,332.1
Grand Total N,Ireland,2015,333.9
Grand Total N,Ireland,2016,355.3
Grand Total N,Ireland,2017,380.2
Grand Total N,Ireland,2018,409.8
Grand Total N,Ireland,2019,351.8
Grand Total N,Argentina,1986,93
Grand Total N,Argentina,1987,94.5
Grand Total N,Argentina,1988,99.1
Grand Total N,Argentina,1989,99.4
Grand Total N,Argentina,1990,101.4
Grand Total N,Argentina,1991,95.7
Grand Total N,Argentina,1992,146.6
Grand Total N,Argentina,1993,167.7
Grand Total N,Argentina,1994,280.8
Grand Total N,Argentina,1995,318.8
Grand Total N,Argentina,1996,510.3
Grand Total N,Argentina,1997,476.4
Grand Total N,Argentina,1998,422.7
Grand Total N,Argentina,1999,455.3
Grand Total N,Argentina,2000,480.6
Grand Total N,Argentina,2001,565.5
Grand Total N,Argentina,2002,537.1
Grand Total N,Argentina,2003,634
Grand Total N,Argentina,2004,776.1
Grand Total N,Argentina,2005,635.8
Grand Total N,Argentina,2006,798.9
Grand Total N,Argentina,2007,940.5
Grand Total N,Argentina,2008,621
Grand Total N,Argentina,2009,586.4
Grand Total N,Argentina,2010,780.7
Grand Total N,Argentina,2011,849.6
Grand Total N,Argentina,2012,719.7
Grand Total N,Argentina,2013,782.4
Grand Total N,Argentina,2014,810.8
Grand Total N,Argentina,2015,601.7
Grand Total N,Argentina,2016,992.3
Grand Total N,Argentina,2017,970
Grand Total N,Argentina,2018,1154.1
Grand Total N,Argentina,2019,1272.4
Grand Total N,Spain,1986,1063.5
Grand Total N,Spain,1987,1147.8
Grand Total N,Spain,1988,1121.2
Grand Total N,Spain,1989,1102.8
Grand Total N,Spain,1990,1063.5
Grand Total N,Spain,1991,998.7
Grand Total N,Spain,1992,812
Grand Total N,Spain,1993,936
Grand Total N,Spain,1994,929
Grand Total N,Spain,1995,1041
Grand Total N,Spain,1996,1119
Grand Total N,Spain,1997,1118
Grand Total N,Spain,1998,1199
Grand Total N,Spain,1999,1181
Grand Total N,Spain,2000,1114
Grand Total N,Spain,2001,1111
Grand Total N,Spain,2002,1075
Grand Total N,Spain,2003,1158
Grand Total N,Spain,2004,1023
Grand Total N,Spain,2005,951
Grand Total N,Spain,2006,937
Grand Total N,Spain,2007,977
Grand Total N,Spain,2008,732.1
Grand Total N,Spain,2009,813
Grand Total N,Spain,2010,967.4
Grand Total N,Spain,2011,818.3
Grand Total N,Spain,2012,962.7
Grand Total N,Spain,2013,1037
Grand Total N,Spain,2014,1014
Grand Total N,Spain,2015,987
Grand Total N,Spain,2016,1019
Grand Total N,Spain,2017,1090.1
Grand Total N,Spain,2018,1054.2
Grand Total N,Spain,2019,1073.9
Grand Total N,Korea DPR,1986,605
Grand Total N,Korea DPR,1987,602
Grand Total N,Korea DPR,1988,634
Grand Total N,Korea DPR,1989,644
Grand Total N,Korea DPR,1990,655.4
Grand Total N,Korea DPR,1991,659
Grand Total N,Korea DPR,1992,652.5
Grand Total N,Korea DPR,1993,636
Grand Total N,Korea DPR,1994,300
Grand Total N,Korea DPR,1995,84
Grand Total N,Korea DPR,1996,72.4
Grand Total N,Korea DPR,1997,149.3
