"Original_country_name_in_FUBC_report","Country","ISO3_code","Region_IFA","Year","FUBC_report_number","Year_FUBC_publication","Crop","Crop_area_k_ha","N_k_t","P2O5_k_t","K2O_k_t","N_P2O5_K2O_k_t","N_rate_kg_ha","P2O5_rate_kg_ha","K2O_rate_kg_ha","N_pc_fert","P2O5_pc_fert","K2O_pc_fert","Aver_N_rate_kg_ha","Aver_P2O5_rate_kg_ha","Aver_K2O_rate_kg_ha","Aver_N_P2O5_K2O_rate_kg_ha"
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Barley",1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"carrot",17,1.7,1.8,1.8,NA,100,108,108,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"citrus Fruits",45,11.3,3.6,4.5,NA,250,80,100,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Fallow",2900,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Fruits (Other)",34,3.4,2.7,3.4,NA,100,80,100,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Garlic",6,0.6,0.4,0.4,NA,100,72,72,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Grape",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Olive",165,0.7,0.7,0.9,NA,40,44,55,10,10,10,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Onion",25,3.4,2.7,2.7,NA,137,108,108,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Other",26,1.7,2.6,3.3,NA,66,100,125,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Pasture &  Fodder",210,0,9.7,0,NA,0,46,0,0,100,0,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Pasture & Fodder (Other)",550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Potato",96,20.2,17.3,17.3,NA,210,180,180,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Pulses",155,3.1,7.1,NA,NA,20,46,NA,100,100,NA,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Rough",4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Vegetables (Other)",126,16.5,14,16,NA,131,111,127,100,100,100,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Wheat",647,22,0,0,NA,34,0,0,100,0,0,NA,NA,NA,NA
"ALGERIA","Algeria","DZA","Africa","1986",1,1992,"Wheat (Durum)",1000,0,46,0,NA,0,46,0,0,100,0,NA,NA,NA,NA
"ANGOLA","Angola","AGO","Africa","1991",1,1992,"Banana",30,0.4,0.1,0.7,1.2,67,22,112,20,20,20,NA,NA,NA,NA
"ANGOLA","Angola","AGO","Africa","1991",1,1992,"Maize",855,2.3,4.7,2.3,9.4,36,72,36,8,8,8,NA,NA,NA,NA
"ANGOLA","Angola","AGO","Africa","1991",1,1992,"Vegetables",5,0.3,0.1,0.4,0.8,67,22,112,80,80,80,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Cereals",13861,208.1,272.8,4.3,485.1,19,24,31,79,82,1,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Cotton",250,38,3.9,0.5,42.4,160,45,40,95,35,5,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Oil crops",253,4,4.8,0.3,9,23,28,25,68,68,4,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Pasture &  Fodder",33417,34.1,224.6,58.8,317.5,6,21,11,17,32,16,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Pulses",1617,0.8,36.4,1.8,39,12,25,37,4,90,3,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Sugar Cane",300,52.5,16.8,28.8,98.1,175,80,120,100,70,80,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Tobacco",5,0.8,0.8,2,3.6,150,160,400,100,100,100,NA,NA,NA,NA
"AUSTRALIA","Australia","AUS","Oceania","1990",1,1992,"Vegetables",395,40.4,41.8,29.8,111.9,131,151,116,78,70,65,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Barley",292,20.4,8.8,11.7,40.9,70,30,40,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Cereals (Other)",25,1.8,1,1.3,4,70,40,50,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Fodder Crop",250,16.3,5,5,26.3,65,20,20,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Fruits (Other)",16,0.6,0.3,0.6,1.6,40,20,40,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Grape",54,2.2,1.3,1.6,5.1,40,30,50,100,80,60,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Grassland (Intensive)",850,17,21.3,12.8,51,20,25,15,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Grassland (Moderate)",135,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Maize",198,23.8,7.9,15.8,47.5,120,40,80,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Oat",67,3.2,3.2,3.2,9.6,60,60,60,80,80,80,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Other",10,0.4,0.1,0.2,0.7,40,10,20,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Potato",32,3.2,1.9,3.8,9,100,60,120,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Pulses",53,0,2.7,4.2,6.9,NA,50,80,NA,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Rapeseed",41,6.4,1.8,4.3,12.5,155,45,105,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Rye",91,4.4,4.4,4.4,13.1,60,60,60,80,80,80,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Sugar Beet",50,3.5,3.5,6,13,70,70,120,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Sunflower",32,1.6,1.3,1.9,4.8,50,40,60,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Vegetables",9,0.9,0.5,0.9,2.3,100,50,100,100,100,100,NA,NA,NA,NA
"AUSTRIA","Austria","AUT","Western and Central Europe","1990",1,1992,"Wheat",278,22.2,8.3,11.1,41.7,80,30,40,100,100,100,NA,NA,NA,NA
"BAHRAIN","Bahrain","BHR","West Asia","1991",1,1992,"Potato",3,0.9,0.6,0.6,2.1,300,200,200,100,100,100,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Cereals (Other)",114,1.2,0.8,0.1,2.1,27,25,34,39,28,3,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Jute",542,13.3,4,0.9,18.2,34,32,21,72,23,8,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Oil crops",540,22.8,20,3.9,46.7,62,53,29,68,70,25,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Potato",169,19.8,19.5,11.2,50.4,167,167,100,70,69,66,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Pulses",739,1.6,4.8,1.2,7.6,31,36,20,7,18,8,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Rice (Aman)",5704,203.7,65.9,18,287.6,47,35,21,76,33,15,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Rice (Aus)",2264,65.4,19.8,4,89.2,38,35,22,76,25,8,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Rice (Boro)",2511,203.3,100,40.7,344,88,48,27,92,83,60,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Spices",149,3.7,2.7,0.5,6.9,55,50,27,45,36,13,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Sugar Cane",188,15.5,11.7,6.7,34,87,70,46,95,89,78,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Tobacco",45,2.3,3.1,1.3,6.7,52,70,30,98,98,96,NA,NA,NA,NA
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Vegetables",165,10.4,7.8,1.9,20.1,86,72,35,73,66,33,NA,NA,NA,NA
