"Original_country_name_in_FUBC_report","Original_crop_name_in_FUBC_report","Year","Year_for_FAO_area","FAO_area_ha","IFA_area_ha","FAO_area_used_Yes_No","IFA_N_t","IFA_P2O5_t","IFA_K2O_t","Comment","Survey_respondent","ISO3_code","Country","Crop","Crop_UNFAO","Crop_UNFAO_aggregated","Crop_for_final_IFA_reporting"
"Argentina","Wheat","2018/19",2018,5822173,6287149,"No",417846.099882853,184319.479576577,0,NA,"Fertilizar","ARG","Argentina","Wheat","Wheat","Wheat","Wheat"
"Argentina","Rice","2018/19",2018,198170,194835,"No",10877.2335455625,8266.73477800258,8172.90315523335,NA,"Fertilizar","ARG","Argentina","Rice","Rice, paddy","Rice, paddy","Rice"
"Argentina","Other cereals","2018/19",2018,1953098,NA,"No",0,0,0,NA,"Fertilizar","ARG","Argentina","Other cereals","Other cereals","Other cereals","Other cereals"
"Argentina","Barley","2018/19",2018,1209995,1353128,"No",71338.834990424,30570.6703200712,0,NA,"Fertilizar","ARG","Argentina","Barley","Barley","Barley","Other cereals"
"Argentina","Sorghum","2018/19",2018,437463,522221,"No",15434.7081130306,12708.7328521303,0,NA,"Fertilizar","ARG","Argentina","Sorghum","Sorghum","Sorghum","Other cereals"
"Argentina","Soybeans","2018/19",2018,16318060,17010277,"No",0,171921.652800643,0,NA,"Fertilizar","ARG","Argentina","Soybeans","Soybeans","Soybeans","Soybeans"
"Argentina","Other oilseeds","2018/19",2018,2283954,NA,"No",0,0,0,NA,"Fertilizar","ARG","Argentina","Other oilseeds","Other oilseeds","Other oil Crops","Other oil crops"
"Argentina","Sunflowers","2018/19",2018,1678031,1941002,"No",25213.9780604519,16439.3974883976,0,NA,"Fertilizar","ARG","Argentina","Sunflowers","Sunflower seed","Sunflower seed","Residual"
"Argentina","Cotton","2018/19",2018,319285,NA,"No",0,0,0,NA,"Fertilizar","ARG","Argentina","Cotton","Cottonseed","Cottonseed","Cottonseed"
"Argentina","Sugarcane","2018/19",2018,457884,350000,"No",30900.8605830902,1842.79083327483,0,NA,"Fertilizar","ARG","Argentina","Sugarcane","Sugar cane","Sugar cane","Sugar cane"
